28650	4	0
56	14486	14487	17383	17382	14546	14547	17443	17442	1	0	0	0	0	0	4098	0	0	0	0	0
57	17382	17383	20279	20278	17442	17443	20339	20338	1	0	0	0	0	0	4098	0	0	0	0	0
58	20278	20279	23175	23174	20338	20339	23235	23234	1	0	0	0	0	0	4098	0	0	0	0	0
59	23174	23175	26071	26070	23234	23235	26131	26130	1	0	0	0	0	0	4098	0	0	0	0	0
60	26070	26071	28967	28966	26130	26131	29027	29026	1	0	0	1	0	0	4098	0	0	4096	0	0
61	7	8	2904	2903	67	68	2964	2963	1	1	0	0	0	0	4098	4097	0	0	0	0
62	2903	2904	5800	5799	2963	2964	5860	5859	1	0	0	0	0	0	4098	0	0	0	0	0
63	5799	5800	8696	8695	5859	5860	8756	8755	1	0	0	0	0	0	4098	0	0	0	0	0
64	8695	8696	11592	11591	8755	8756	11652	11651	1	0	0	0	0	0	4098	0	0	0	0	0
65	11591	11592	14488	14487	11651	11652	14548	14547	1	0	0	0	0	0	4098	0	0	0	0	0
66	14487	14488	17384	17383	14547	14548	17444	17443	1	0	0	0	0	0	4098	0	0	0	0	0
67	17383	17384	20280	20279	17443	17444	20340	20339	1	0	0	0	0	0	4098	0	0	0	0	0
68	20279	20280	23176	23175	20339	20340	23236	23235	1	0	0	0	0	0	4098	0	0	0	0	0
69	23175	23176	26072	26071	23235	23236	26132	26131	1	0	0	0	0	0	4098	0	0	0	0	0
70	26071	26072	28968	28967	26131	26132	29028	29027	1	0	0	1	0	0	4098	0	0	4096	0	0
71	8	9	2905	2904	68	69	2965	2964	1	1	0	0	0	0	4098	4097	0	0	0	0
72	2904	2905	5801	5800	2964	2965	5861	5860	1	0	0	0	0	0	4098	0	0	0	0	0
73	5800	5801	8697	8696	5860	5861	8757	8756	1	0	0	0	0	0	4098	0	0	0	0	0
74	8696	8697	11593	11592	8756	8757	11653	11652	1	0	0	0	0	0	4098	0	0	0	0	0
75	11592	11593	14489	14488	11652	11653	14549	14548	1	0	0	0	0	0	4098	0	0	0	0	0
76	14488	14489	17385	17384	14548	14549	17445	17444	1	0	0	0	0	0	4098	0	0	0	0	0
77	17384	17385	20281	20280	17444	17445	20341	20340	1	0	0	0	0	0	4098	0	0	0	0	0
78	20280	20281	23177	23176	20340	20341	23237	23236	1	0	0	0	0	0	4098	0	0	0	0	0
79	23176	23177	26073	26072	23236	23237	26133	26132	1	0	0	0	0	0	4098	0	0	0	0	0
80	26072	26073	28969	28968	26132	26133	29029	29028	1	0	0	1	0	0	4098	0	0	4096	0	0
81	9	10	2906	2905	69	70	2966	2965	1	1	0	0	0	0	4098	4097	0	0	0	0
82	2905	2906	5802	5801	2965	2966	5862	5861	1	0	0	0	0	0	4098	0	0	0	0	0
83	5801	5802	8698	8697	5861	5862	8758	8757	1	0	0	0	0	0	4098	0	0	0	0	0
84	8697	8698	11594	11593	8757	8758	11654	11653	1	0	0	0	0	0	4098	0	0	0	0	0
85	11593	11594	14490	14489	11653	11654	14550	14549	1	0	0	0	0	0	4098	0	0	0	0	0
86	14489	14490	17386	17385	14549	14550	17446	17445	1	0	0	0	0	0	4098	0	0	0	0	0
87	17385	17386	20282	20281	17445	17446	20342	20341	1	0	0	0	0	0	4098	0	0	0	0	0
88	20281	20282	23178	23177	20341	20342	23238	23237	1	0	0	0	0	0	4098	0	0	0	0	0
89	23177	23178	26074	26073	23237	23238	26134	26133	1	0	0	0	0	0	4098	0	0	0	0	0
90	26073	26074	28970	28969	26133	26134	29030	29029	1	0	0	1	0	0	4098	0	0	4096	0	0
91	10	11	2907	2906	70	71	2967	2966	1	1	0	0	0	0	4098	4097	0	0	0	0
92	2906	2907	5803	5802	2966	2967	5863	5862	1	0	0	0	0	0	4098	0	0	0	0	0
93	5802	5803	8699	8698	5862	5863	8759	8758	1	0	0	0	0	0	4098	0	0	0	0	0
94	8698	8699	11595	11594	8758	8759	11655	11654	1	0	0	0	0	0	4098	0	0	0	0	0
95	11594	11595	14491	14490	11654	11655	14551	14550	1	0	0	0	0	0	4098	0	0	0	0	0
96	14490	14491	17387	17386	14550	14551	17447	17446	1	0	0	0	0	0	4098	0	0	0	0	0
97	17386	17387	20283	20282	17446	17447	20343	20342	1	0	0	0	0	0	4098	0	0	0	0	0
98	20282	20283	23179	23178	20342	20343	23239	23238	1	0	0	0	0	0	4098	0	0	0	0	0
99	23178	23179	26075	26074	23238	23239	26135	26134	1	0	0	0	0	0	4098	0	0	0	0	0
100	26074	26075	28971	28970	26134	26135	29031	29030	1	0	0	1	0	0	4098	0	0	4096	0	0
101	11	12	2908	2907	71	72	2968	2967	1	1	0	0	0	0	4098	4097	0	0	0	0
102	2907	2908	5804	5803	2967	2968	5864	5863	1	0	0	0	0	0	4098	0	0	0	0	0
103	5803	5804	8700	8699	5863	5864	8760	8759	1	0	0	0	0	0	4098	0	0	0	0	0
104	8699	8700	11596	11595	8759	8760	11656	11655	1	0	0	0	0	0	4098	0	0	0	0	0
105	11595	11596	14492	14491	11655	11656	14552	14551	1	0	0	0	0	0	4098	0	0	0	0	0
106	14491	14492	17388	17387	14551	14552	17448	17447	1	0	0	0	0	0	4098	0	0	0	0	0
107	17387	17388	20284	20283	17447	17448	20344	20343	1	0	0	0	0	0	4098	0	0	0	0	0
108	20283	20284	23180	23179	20343	20344	23240	23239	1	0	0	0	0	0	4098	0	0	0	0	0
