1	0.918585	0.357567	0.168367
2	0.952137	0.279242	0.124335
3	0.974439	0.178678	0.136170
4	0.976701	0.091499	0.194119
5	0.958335	0.036165	0.283349
6	0.918861	0.022246	0.393953
7	0.863509	0.061025	0.500628
8	0.808604	0.147881	0.569465
9	0.774620	0.256166	0.578224
10	0.776440	0.346951	0.526086
11	0.904521	0.394846	0.161053
12	0.940850	0.318331	0.116046
13	0.967419	0.219081	0.126900
14	0.973761	0.133455	0.184334
15	0.958596	0.078437	0.273754
16	0.920632	0.063099	0.385299
17	0.864414	0.100404	0.492653
18	0.806586	0.185426	0.561281
19	0.768284	0.292468	0.569387
20	0.765889	0.383293	0.516236
21	0.869578	0.471908	0.145387
22	0.911468	0.399181	0.099401
23	0.946680	0.303036	0.109389
24	0.960979	0.220302	0.167291
25	0.951709	0.166165	0.258147
26	0.916527	0.148419	0.371417
27	0.858149	0.182165	0.479997
28	0.793850	0.262387	0.548594
29	0.746227	0.365662	0.556270
30	0.734825	0.455654	0.502405
31	0.823252	0.554092	0.123440
32	0.870765	0.485710	0.076508
33	0.915270	0.393614	0.085725
34	0.938490	0.313473	0.144818
35	0.935433	0.261004	0.238415
36	0.903552	0.241440	0.353978
37	0.843626	0.270545	0.463789
38	0.772915	0.345200	0.532390
39	0.715644	0.443395	0.539680
40	0.694470	0.531277	0.485238
41	0.763205	0.638794	0.097264
42	0.816355	0.575429	0.049466
43	0.870574	0.488607	0.058001
44	0.904373	0.409490	0.120114
45	0.907625	0.358994	0.217579
46	0.879000	0.339948	0.334356
47	0.818072	0.364184	0.445116
48	0.741055	0.432348	0.513725
49	0.674024	0.523990	0.520697
50	0.642621	0.608292	0.465853
51	0.687634	0.722780	0.068902
52	0.746362	0.665228	0.020363
53	0.810430	0.585152	0.028306
54	0.856627	0.507452	0.093184
55	0.867157	0.458255	0.195040
56	0.840912	0.441022	0.313634
57	0.778911	0.461007	0.425170
58	0.695788	0.521600	0.493773
59	0.619152	0.605090	0.500516
60	0.577414	0.684215	0.445470
61	0.595454	0.802370	0.040454
62	0.659607	0.751560	-0.008665
63	0.732953	0.680279	-0.001148
64	0.791314	0.607991	0.064566
65	0.810657	0.560082	0.170715
66	0.786967	0.542918	0.293126
67	0.723947	0.558230	0.405315
68	0.635063	0.610020	0.473888
69	0.549275	0.683681	0.480497
70	0.497473	0.755985	0.425451
71	0.486394	0.873626	0.014099
72	0.555431	0.830809	-0.035400
73	0.637670	0.769798	-0.028078
74	0.707286	0.705888	0.038337
75	0.736702	0.659498	0.149444
76	0.716033	0.641404	0.275496
77	0.651556	0.652404	0.387096
78	0.557454	0.694018	0.455614
79	0.463291	0.756142	0.462180
80	0.402069	0.820023	0.407311
81	0.361111	0.932489	-0.007941
82	0.434711	0.898724	-0.057628
83	0.525497	0.849307	-0.050312
84	0.605112	0.795964	0.016771
85	0.644790	0.752952	0.131563
86	0.627646	0.733534	0.260746
87	0.560944	0.739466	0.372199
88	0.462439	0.769405	0.440643
89	0.361023	0.818315	0.447240
